ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
FSM	318100000	111000	Micronesia	FSM	2	4	6	5.4054054054054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MDA	7000318677	3562000	Moldova	MDA	10	12	22	0.617630544637844	0	0	2	2	0.056148231330713	0	0	0.056148231330713	0.285701279081927	0	0	0.285701279081927	0.090909090909091	0	0	0.090909090909091	9.7	0	0	9.7	44.83	0	0	44.83	11.44	0	0	11.44	44.83	9.7	11.44	53	6	29	40		2
MCO	5424000000	35407	Monaco	MON	1	5	6	16.9458016776344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MNG	8557529910	2756000	Mongolia	MGL	13	16	29	1.0522496371553	0	1	1	2	0.036284470246734	0.036284470246734	0	0.072568940493469	0.11685615014111	0.11685615014111	0	0.23371230028222	0.03448275862069	0.03448275862069	0	0.068965517241379	6.3	7.3	0	13.6	18.33	23.78	0	42.11	4.34	5.18	0	9.52	65.89	20.9	14.7	45	3	13	31		3
MNE	4550463278	632000	Montenegro	MNE	16	18	34	5.37974683544304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MAR	100221000000	31951000	Morocco	MAR	18	54	72	0.225345059622547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MOZ	12797754231	23390000	Mozambique	MOZ	2	4	6	0.025651988029072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
NAM	12300698895	2283000	Namibia	NAM	4	5	9	0.394218134034166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
NRU	63000000	10372	Nauru	NRU	0	2	2	19.2826841496336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
NPL	18884495628	29959000	Nepal	NEP	3	2	5	0.016689475616676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
